|   iter    |  target   |   alpha   |     k     |     l     |
|  8        | -1.765e+0 |  0.1192   |  1.783    |  10.71    |
|  9        | -70.49    |  0.0455   |  1.467    |  13.31    |
|  10       | -3.886e+0 |  0.1453   |  3.186    |  3.531    |
|  11       | -74.49    |  0.04549  |  1.466    |  13.32    |
|  12       | -849.6    |  0.06045  |  2.042    |  6.169    |
|  13       | -1.218e+0 |  0.09511  |  3.354    |  11.09    |
|  14       | -219.6    |  0.03757  |  2.034    |  6.191    |
|  15       | -318.3    |  0.01571  |  2.033    |  6.191    |
|  16       | -139.4    |  0.02922  |  2.008    |  6.211    |
|  17       | -690.3    |  0.002257 |  2.017    |  6.224    |
|  18       | -274.5    |  0.02483  |  1.454    |  13.33    |
|  19       | -609.9    |  0.04081  |  3.634    |  1.356    |
|  20       | -225.7    |  0.05418  |  1.452    |  13.31    |
|  21       | -106.6    |  0.03537  |  1.449    |  13.32    |
|  22       | -58.0     |  0.04272  |  1.454    |  13.32    |
|  23       | -519.1    |  0.04847  |  2.013    |  6.199    |
|  24       | -175.0    |  0.02422  |  2.065    |  6.168    |
|  25       | -241.7    |  0.03813  |  2.042    |  6.181    |
|  26       | -57.77    |  0.04193  |  1.498    |  13.35    |
|  27       | -195.2    |  0.04601  |  1.194    |  10.15    |
|  28       | -155.9    |  0.05061  |  1.446    |  13.34    |
|  29       | -395.5    |  0.01791  |  1.475    |  13.31    |
|  30       | -476.5    |  0.06807  |  1.484    |  13.38    |
|  31       | -267.4    |  0.0179   |  2.051    |  6.133    |
|  32       | -217.5    |  0.02784  |  1.447    |  13.32    |
|  33       | -376.2    |  0.06254  |  1.478    |  13.36    |
|  34       | -749.3    |  0.07183  |  1.173    |  10.18    |
|  35       | -201.6    |  0.02209  |  2.048    |  6.163    |
|  36       | -385.4    |  0.06306  |  1.505    |  13.33    |
|  37       | -627.9    |  0.00649  |  1.499    |  13.36    |
|  38       | -438.3    |  0.01111  |  1.997    |  6.208    |
|  39       | -415.0    |  0.01705  |  1.512    |  13.36    |
|  40       | -238.9    |  0.02655  |  1.479    |  13.29    |
|  41       | -265.9    |  0.01846  |  1.996    |  6.187    |
|  42       | -260.3    |  0.03826  |  2.087    |  6.175    |
|  43       | -4.869e+0 |  0.1668   |  1.372    |  1.471    |
|  44       | -923.0    |  0.04983  |  3.636    |  1.366    |
|  45       | -995.0    |  0.09475  |  1.491    |  13.27    |
|  46       | -148.1    |  0.03032  |  2.004    |  6.212    |
|  47       | -207.7    |  0.02157  |  2.012    |  6.201    |
|  48       | -142.9    |  0.0277   |  2.045    |  6.177    |
|  49       | -701.7    |  0.002745 |  1.497    |  13.35    |
|  50       | -141.2    |  0.02849  |  2.045    |  6.173    |
|  51       | -490.3    |  0.0686   |  1.531    |  13.35    |
|  52       | -710.1    |  0.001698 |  1.99     |  6.21     |
|  53       | -64.65    |  0.04439  |  1.471    |  13.31    |
|  54       | -425.8    |  0.06507  |  1.445    |  13.34    |
|  55       | -184.2    |  0.02963  |  1.502    |  13.36    |
=============================================================
|   iter    |  target   |   alpha   |     k     |     l     |
-------------------------------------------------------------
|  1        | -1.929e+0 |  0.0834   |  3.161    |  1.001    |
|  2        | -3.35e+03 |  0.06047  |  1.44     |  2.2      |
|  3        | -4.762e+0 |  0.03725  |  2.037    |  6.158    |
|  4        | -2.44e+03 |  0.1078   |  2.258    |  9.908    |
|  5        | -4.212e+0 |  0.04089  |  3.634    |  1.356    |
|  6        | -3.768e+0 |  0.07517  |  3.37     |  11.07    |
|  7        | -1.148e+0 |  0.1065   |  3.362    |  3.274    |
|  8        | -2.171e+0 |  0.1192   |  1.783    |  10.71    |
|  9        | -4.947e+0 |  0.0455   |  1.467    |  13.31    |
|  10       | -528.0    |  0.1453   |  3.186    |  3.531    |
|  11       | -290.3    |  0.14     |  3.21     |  3.496    |
|  12       | -1.399e+0 |  0.1911   |  2.992    |  7.119    |
|  13       | -3.42e+03 |  0.09775  |  3.524    |  13.73    |
|  14       | -1.851e+0 |  0.1726   |  3.261    |  3.419    |
|  15       | -285.9    |  0.1399   |  3.205    |  3.503    |
|  16       | -395.8    |  0.1354   |  2.644    |  5.982    |
|  17       | -231.6    |  0.1384   |  3.213    |  3.521    |
|  18       | -3.443e+0 |  0.0548   |  3.293    |  1.869    |
|  19       | -432.1    |  0.1354   |  2.644    |  5.982    |
|  20       | -607.4    |  0.1196   |  1.338    |  2.518    |
|  21       | -1.753e+0 |  0.1227   |  2.672    |  9.497    |
|  22       | -6.303e+0 |  0.003364 |  1.775    |  11.41    |
