α,p,l
0.053,0.68,1.8407424528963312
0.053,0.69,1.836465933551258
0.053,0.7,1.8322524455774558
0.053,0.71,1.8281004861807277
0.053,0.72,1.8240086629169086
0.053,0.73,1.8199756846375739
0.053,0.74,1.8160003529627062
0.053,0.75,1.8120815542465911
0.053,0.76,1.808218252005836
0.053,0.77,1.8044094797808197
0.053,0.78,1.8006543344041863
0.053,0.79,1.7969519696521417
0.053,0.8,1.7933015902562974
0.053,0.81,1.7897024462557012
0.053,0.82,1.7861538276704092
0.053,0.83,1.7826550594796005
0.053,0.84,1.7792054968887094
0.053,0.85,1.775804520871452
0.053,0.86,1.7724515339739106
0.053,0.87,1.7691459563690155
0.053,0.88,1.7658872221508517
0.053,0.89,1.7626747758592338
0.053,0.9,1.7595080692259124
0.053,0.91,1.7563865581346245
0.053,0.92,1.7533096997880067
0.053,0.93,1.7502769500751125
0.053,0.94,1.7472877611339785
0.053,0.95,1.7443415791043355
0.053,0.96,1.7414378420661811
0.053,0.97,1.7385759781605534
0.053,0.98,1.7357554038894332
0.053,0.99,1.732975522592318
0.053,1.0,1.730235723097619
0.054,0.33,2.0481924027688985
0.054,0.34,2.0386607810283515
0.054,0.35,2.029458382361397
0.054,0.36,2.020564762967002
0.054,0.37,2.0119609098413136
0.054,0.38,2.003629137776719
0.054,0.39,1.9955529954654496
0.054,0.4,1.987717179460134
0.054,0.41,1.9801074549962667
0.054,0.42,1.9727105828744307
0.054,0.43,1.9655142517478223
0.054,0.44,1.9585070152740511
0.054,0.45,1.951678233677747
0.054,0.46,1.9450180193384625
0.054,0.47,1.9385171860715458
0.054,0.48,1.9321672018116312
0.054,0.49,1.9259601444419605
0.054,0.5,1.9198886605398677
0.054,0.51,1.9139459268310641
0.054,0.52,1.9081256141639342
0.054,0.53,1.9024218538308302
0.054,0.54,1.8968292060769114
0.054,0.55,1.8913426306489767
0.054,0.56,1.8859574592472654
0.054,0.57,1.880669369752696
0.054,0.58,1.8754743621106245
0.054,0.59,1.8703687357601038
0.054,0.6,1.8653490685049416
0.054,0.61,1.8604121967296319
0.054,0.62,1.8555551968695907
0.054,0.63,1.8507753680510617
0.054,0.64,1.8460702158216535
0.054,0.65,1.8414374368977282
0.054,0.66,1.836874904859814
0.054,0.67,1.8323806567319079
0.054,0.68,1.8279528803849305
0.054,0.69,1.823589902708789
0.054,0.7,1.8192901785014202
0.054,0.71,1.8150522800268993
0.054,0.72,1.8108748871982208
0.054,0.73,1.806756778343626
0.054,0.74,1.802696821518489
0.054,0.75,1.7986939663276735
0.054,0.76,1.7947472362260184
0.054,0.77,1.7908557212671978
0.054,0.78,1.7870185712735978
0.054,0.79,1.7832349894021062
0.054,0.8,1.779504226082828
0.054,0.81,1.7758255733096917
0.054,0.82,1.772198359263727
0.054,0.83,1.7686219432515045
0.054,0.84,1.7650957109427776
0.054,0.85,1.7616190698928267
0.054,0.86,1.7581914453363388
0.054,0.87,1.7548122762408858
0.054,0.88,1.751481011609202
0.054,0.89,1.7481971070205158
0.054,0.9,1.744960021402123
0.054,0.91,1.741769214023317
0.054,0.92,1.7386241417045782
0.054,0.93,1.7355242562357072
0.054,0.94,1.7324690019972966
0.054,0.95,1.7294578137806034
0.054,0.96,1.7264901148015528
0.054,0.97,1.7235653149051948
0.054,0.98,1.720682808957584
0.054,0.99,1.7178419754226424
